city,month,date,temp_min,temp_max,precipitation
St Malo,2024-12,2024-12-16 00:00:00,-13.141935483870967,-5.738709677419355,1.1096774193548387
Bayeux,2024-01,2024-01-16 00:00:00,2.3096774193548386,8.083870967741936,3.203225806451613
Bayeux,2024-02,2024-02-15 00:00:00,7.189655172413793,11.710344827586209,3.5827586206896553
Bayeux,2024-03,2024-03-16 00:00:00,5.493548387096775,12.680645161290323,2.338709677419355
Bayeux,2024-04,2024-04-15 12:00:00,7.446666666666667,14.333333333333334,1.8766666666666665
Bayeux,2024-05,2024-05-16 00:00:00,9.812903225806451,17.322580645161292,3.041935483870968
Bayeux,2024-06,2024-06-15 12:00:00,10.756666666666666,18.46333333333333,1.1866666666666668
Bayeux,2024-07,2024-07-16 00:00:00,13.667741935483871,21.719354838709677,1.929032258064516
Bayeux,2024-08,2024-08-16 00:00:00,14.593548387096773,23.103225806451615,1.3096774193548388
Bayeux,2024-09,2024-09-15 12:00:00,11.896666666666667,18.516666666666666,3.2666666666666666
Bayeux,2024-10,2024-10-16 00:00:00,10.206451612903225,16.75483870967742,2.4193548387096775
Bayeux,2024-11,2024-11-15 12:00:00,7.293333333333334,12.256666666666666,2.963333333333333
Bayeux,2024-12,2024-12-16 00:00:00,5.451612903225806,9.8,2.351612903225807
Le Havre,2024-01,2024-01-16 00:00:00,2.9967741935483874,7.619354838709677,3.5258064516129033
Le Havre,2024-02,2024-02-15 00:00:00,7.537931034482758,11.286206896551725,4.8517241379310345
Le Havre,2024-03,2024-03-16 00:00:00,6.529032258064516,12.058064516129033,3.264516129032258
Le Havre,2024-04,2024-04-15 12:00:00,8.483333333333333,13.746666666666666,2.2633333333333336
Le Havre,2024-05,2024-05-16 00:00:00,10.880645161290323,17.212903225806453,3.2483870967741937
Le Havre,2024-06,2024-06-15 12:00:00,12.06,18.083333333333332,1.8666666666666667
Le Havre,2024-07,2024-07-16 00:00:00,15.23225806451613,21.41290322580645,2.2161290322580647
Le Havre,2024-08,2024-08-16 00:00:00,16.37741935483871,22.403225806451612,1.964516129032258
Le Havre,2024-09,2024-09-15 12:00:00,13.276666666666667,18.64333333333333,5.133333333333334
Le Havre,2024-10,2024-10-16 00:00:00,11.203225806451613,16.406451612903226,2.9516129032258065
Le Havre,2024-11,2024-11-15 12:00:00,8.18,12.126666666666667,3.5533333333333332
Le Havre,2024-12,2024-12-16 00:00:00,6.17741935483871,9.738709677419354,3.1322580645161286
Rouen,2024-01,2024-01-16 00:00:00,1.467741935483871,6.948387096774193,2.4064516129032256
Rouen,2024-02,2024-02-15 00:00:00,6.355172413793104,11.431034482758621,4.36896551724138
Rouen,2024-03,2024-03-16 00:00:00,5.209677419354839,12.832258064516129,2.703225806451613
Rouen,2024-04,2024-04-15 12:00:00,7.033333333333333,14.583333333333334,2.55
Rouen,2024-05,2024-05-16 00:00:00,10.138709677419355,17.98709677419355,3.42258064516129
Rouen,2024-06,2024-06-15 12:00:00,10.976666666666667,19.78666666666667,1.64
Rouen,2024-07,2024-07-16 00:00:00,14.23225806451613,22.687096774193545,2.6322580645161286
Rouen,2024-08,2024-08-16 00:00:00,14.941935483870967,24.016129032258064,1.6580645161290322
Rouen,2024-09,2024-09-15 12:00:00,11.916666666666666,19.103333333333335,4.15
Rouen,2024-10,2024-10-16 00:00:00,9.861290322580645,16.55806451612903,3.987096774193548
Rouen,2024-11,2024-11-15 12:00:00,6.3933333333333335,11.416666666666666,2.44
Rouen,2024-12,2024-12-16 00:00:00,4.361290322580645,8.970967741935485,2.4322580645161294
Paris,2024-01,2024-01-16 00:00:00,1.1774193548387097,7.135483870967741,2.096774193548387
Paris,2024-02,2024-02-15 00:00:00,6.103448275862069,11.579310344827586,3.6241379310344826
Paris,2024-03,2024-03-16 00:00:00,5.561290322580645,13.361290322580645,3.425806451612903
Paris,2024-04,2024-04-15 12:00:00,7.093333333333334,15.633333333333333,2.933333333333333
Paris,2024-05,2024-05-16 00:00:00,10.661290322580646,18.793548387096774,4.04516129032258
Paris,2024-06,2024-06-15 12:00:00,11.93,21.2,3.51
